coach_username,post_shortcode,post_type,likes,comments,timestamp,caption_length,has_cta,content_category,is_reel
coachnathanaelrodriguez,C9j9Q6hRbb9,Sidecar,485,126,2024-07-18T11:09:16.000Z,613,False,lifestyle,False
rh_fitnesscoach,DUla_ruDxy7,Sidecar,0,0,2026-02-10T16:50:22.000Z,123,False,lifestyle,False
coachnathanaelrodriguez,DVhbcxnCcG5,Video,164,12,2026-03-06T00:08:54.000Z,179,False,testimonial,False
coachnathanaelrodriguez,DVmfXnIFgAb,Sidecar,71,10,2026-03-07T23:19:13.000Z,757,False,testimonial,False
axelarmedia,DVsO3Hdjdhn,Image,-1,4,2026-03-10T04:50:27.000Z,177,False,lifestyle,False
strengthfitnessrd,DOa_s73EYpt,Video,8,0,2025-09-10T12:31:19.000Z,808,True,testimonial,False
lilibethriosp,DTk7bB5jQeo,Video,200,35,2026-01-16T15:45:47.000Z,114,False,lifestyle,False
sencillo_fit,DUhBgMMkQcG,Sidecar,76,30,2026-02-08T23:50:39.000Z,1135,False,lifestyle,False
rosangel.martinss,DPz65BEjBQ9,Video,-1,13,2025-10-15T01:22:41.000Z,28,False,workout,False
strengthfitnessrd,DVRU9LyEVqB,Image,9,0,2026-02-27T18:09:19.000Z,12,False,lifestyle,False
strengthfitnessrd,DUN-uVFkcDX,Video,40,2,2026-02-01T14:21:39.000Z,65,False,lifestyle,False
lilibethriosp,DTLMOnSkVkM,Video,166,31,2026-01-06T15:51:24.000Z,102,False,lifestyle,False
dairo9292,CaAIU4AtXGj,Video,127,7,2022-02-15T14:58:09.000Z,139,False,lifestyle,False
strengthfitnessrd,DOTxnk2EVco,Image,8,0,2025-09-07T17:13:21.000Z,2065,False,testimonial,False
strengthfitnessrd,DUZEu-REfvM,Video,24,0,2026-02-05T21:45:28.000Z,76,False,lifestyle,False
guntergil,DV6Y_7AjmO4,Image,1,0,2026-03-15T16:48:22.000Z,155,True,promotion,False
dairo9292,CibD2LesPj5,Video,63,5,2022-09-12T22:06:25.000Z,496,False,workout,False
yoligfitt,DQEvdE7jSHT,Video,1795,42,2025-10-21T14:09:42.000Z,120,False,workout,False
dairo9292,CeME4yQMY0h,Video,329,12,2022-05-30T16:21:26.000Z,456,False,lifestyle,False
dairo9292,CalpqFDLI3D,Image,24,8,2022-03-02T04:37:38.000Z,472,False,testimonial,False
lourdsmedn,DUHgBqXgOTS,Video,956,72,2026-01-30T02:03:16.000Z,239,False,workout,False
yoligfitt,DQSfnPVDzLV,Video,91,1,2025-10-26T22:20:22.000Z,525,True,workout,False
dairo9292,Cics9U8LUv9,Image,42,10,2022-09-13T13:24:27.000Z,8,False,lifestyle,False
dairo9292,DMa7Ry8yb1H,Video,145,15,2025-07-22T18:51:02.000Z,18,False,lifestyle,False
dairo9292,CbtRuwgLWxr,Image,19,3,2022-03-30T00:13:52.000Z,227,False,lifestyle,False
dairo9292,CzbX3Z-L4oj,Video,37,6,2023-11-09T13:55:39.000Z,23,False,workout,False
